  0.000000   0.000000   5.000000	  0.089665   0.037473   5.000038	  0.089665   0.037473   4.750036	  0.000000   0.000000   4.750000	
  0.089665   0.037473   5.000038	  0.190606   0.047309   4.999983	  0.190606   0.047309   4.749984	  0.089665   0.037473   4.750036	
  0.190606   0.047309   4.999983	  0.292015   0.049985   5.000006	  0.292015   0.049985   4.750005	  0.190606   0.047309   4.749984	
  0.292015   0.049985   5.000006	  0.393453   0.048553   4.999994	  0.393453   0.048553   4.749994	  0.292015   0.049985   4.750005	
  0.393453   0.048553   4.999994	  0.494812   0.044270   4.999990	  0.494812   0.044270   4.749990	  0.393453   0.048553   4.749994	
  0.494812   0.044270   4.999990	  0.596088   0.038293   5.000005	  0.596088   0.038293   4.750004	  0.494812   0.044270   4.749990	
  0.596088   0.038293   5.000005	  0.697232   0.030727   4.999881	  0.697232   0.030727   4.749887	  0.596088   0.038293   4.750004	
  0.697232   0.030727   4.999881	  0.798332   0.021997   5.000297	  0.798332   0.021997   4.750282	  0.697232   0.030727   4.749887	
  0.798332   0.021997   5.000297	  0.899362   0.012671   4.999885	  0.899362   0.012671   4.749890	  0.798332   0.021997   4.750282	
  0.899362   0.012671   4.999885	  1.000000   0.000000   5.000000	  1.000000   0.000000   4.750000	  0.899362   0.012671   4.749890	
  0.000000   0.000000   4.750000	  0.089665   0.037473   4.750036	  0.089665   0.037473   4.500034	  0.000000   0.000000   4.500000	
  0.089665   0.037473   4.750036	  0.190606   0.047309   4.749984	  0.190606   0.047309   4.499984	  0.089665   0.037473   4.500034	
  0.190606   0.047309   4.749984	  0.292015   0.049985   4.750005	  0.292015   0.049985   4.500005	  0.190606   0.047309   4.499984	
  0.292015   0.049985   4.750005	  0.393453   0.048553   4.749994	  0.393453   0.048553   4.499995	  0.292015   0.049985   4.500005	
  0.393453   0.048553   4.749994	  0.494812   0.044270   4.749990	  0.494812   0.044270   4.499990	  0.393453   0.048553   4.499995	
  0.494812   0.044270   4.749990	  0.596088   0.038293   4.750004	  0.596088   0.038293   4.500004	  0.494812   0.044270   4.499990	
  0.596088   0.038293   4.750004	  0.697232   0.030727   4.749887	  0.697232   0.030727   4.499893	  0.596088   0.038293   4.500004	
  0.697232   0.030727   4.749887	  0.798332   0.021997   4.750282	  0.798332   0.021997   4.500267	  0.697232   0.030727   4.499893	
  0.798332   0.021997   4.750282	  0.899362   0.012671   4.749890	  0.899362   0.012671   4.499896	  0.798332   0.021997   4.500267	
  0.899362   0.012671   4.749890	  1.000000   0.000000   4.750000	  1.000000   0.000000   4.500000	  0.899362   0.012671   4.499896	
  0.000000   0.000000   4.500000	  0.089665   0.037473   4.500034	  0.089665   0.037473   4.250032	  0.000000   0.000000   4.250000	
  0.089665   0.037473   4.500034	  0.190606   0.047309   4.499984	  0.190606   0.047309   4.249986	  0.089665   0.037473   4.250032	
  0.190606   0.047309   4.499984	  0.292015   0.049985   4.500005	  0.292015   0.049985   4.250005	  0.190606   0.047309   4.249986	
  0.292015   0.049985   4.500005	  0.393453   0.048553   4.499995	  0.393453   0.048553   4.249995	  0.292015   0.049985   4.250005	
  0.393453   0.048553   4.499995	  0.494812   0.044270   4.499990	  0.494812   0.044270   4.249991	  0.393453   0.048553   4.249995	
  0.494812   0.044270   4.499990	  0.596088   0.038293   4.500004	  0.596088   0.038293   4.250004	  0.494812   0.044270   4.249991	
  0.596088   0.038293   4.500004	  0.697232   0.030727   4.499893	  0.697232   0.030727   4.249899	  0.596088   0.038293   4.250004	
  0.697232   0.030727   4.499893	  0.798332   0.021997   4.500267	  0.798332   0.021997   4.250252	  0.697232   0.030727   4.249899	
  0.798332   0.021997   4.500267	  0.899362   0.012671   4.499896	  0.899362   0.012671   4.249902	  0.798332   0.021997   4.250252	
  0.899362   0.012671   4.499896	  1.000000   0.000000   4.500000	  1.000000   0.000000   4.250000	  0.899362   0.012671   4.249902	
  0.000000   0.000000   4.250000	  0.089665   0.037473   4.250032	  0.089665   0.037473   4.000030	  0.000000   0.000000   4.000000	
  0.089665   0.037473   4.250032	  0.190606   0.047309   4.249986	  0.190606   0.047309   3.999986	  0.089665   0.037473   4.000030	
  0.190606   0.047309   4.249986	  0.292015   0.049985   4.250005	  0.292015   0.049985   4.000005	  0.190606   0.047309   3.999986	
  0.292015   0.049985   4.250005	  0.393453   0.048553   4.249995	  0.393453   0.048553   3.999995	  0.292015   0.049985   4.000005	
  0.393453   0.048553   4.249995	  0.494812   0.044270   4.249991	  0.494812   0.044270   3.999991	  0.393453   0.048553   3.999995	
  0.494812   0.044270   4.249991	  0.596088   0.038293   4.250004	  0.596088   0.038293   4.000004	  0.494812   0.044270   3.999991	
  0.596088   0.038293   4.250004	  0.697232   0.030727   4.249899	  0.697232   0.030727   3.999905	  0.596088   0.038293   4.000004	
  0.697232   0.030727   4.249899	  0.798332   0.021997   4.250252	  0.798332   0.021997   4.000237	  0.697232   0.030727   3.999905	
  0.798332   0.021997   4.250252	  0.899362   0.012671   4.249902	  0.899362   0.012671   3.999907	  0.798332   0.021997   4.000237	
  0.899362   0.012671   4.249902	  1.000000   0.000000   4.250000	  1.000000   0.000000   4.000000	  0.899362   0.012671   3.999907	
  0.000000   0.000000   4.000000	  0.089665   0.037473   4.000030	  0.089665   0.037473   3.750028	  0.000000   0.000000   3.750000	
  0.089665   0.037473   4.000030	  0.190606   0.047309   3.999986	  0.190606   0.047309   3.749987	  0.089665   0.037473   3.750028	
  0.190606   0.047309   3.999986	  0.292015   0.049985   4.000005	  0.292015   0.049985   3.750004	  0.190606   0.047309   3.749987	
  0.292015   0.049985   4.000005	  0.393453   0.048553   3.999995	  0.393453   0.048553   3.749996	  0.292015   0.049985   3.750004	
  0.393453   0.048553   3.999995	  0.494812   0.044270   3.999991	  0.494812   0.044270   3.749992	  0.393453   0.048553   3.749996	
  0.494812   0.044270   3.999991	  0.596088   0.038293   4.000004	  0.596088   0.038293   3.750004	  0.494812   0.044270   3.749992	
  0.596088   0.038293   4.000004	  0.697232   0.030727   3.999905	  0.697232   0.030727   3.749911	  0.596088   0.038293   3.750004	
  0.697232   0.030727   3.999905	  0.798332   0.021997   4.000237	  0.798332   0.021997   3.750222	  0.697232   0.030727   3.749911	
  0.798332   0.021997   4.000237	  0.899362   0.012671   3.999907	  0.899362   0.012671   3.749913	  0.798332   0.021997   3.750222	
  0.899362   0.012671   3.999907	  1.000000   0.000000   4.000000	  1.000000   0.000000   3.750000	  0.899362   0.012671   3.749913	
  0.000000   0.000000   3.750000	  0.089665   0.037473   3.750028	  0.089665   0.037473   3.500026	  0.000000   0.000000   3.500000	
  0.089665   0.037473   3.750028	  0.190606   0.047309   3.749987	  0.190606   0.047309   3.499988	  0.089665   0.037473   3.500026	
  0.190606   0.047309   3.749987	  0.292015   0.049985   3.750004	  0.292015   0.049985   3.500004	  0.190606   0.047309   3.499988	
  0.292015   0.049985   3.750004	  0.393453   0.048553   3.749996	  0.393453   0.048553   3.499996	  0.292015   0.049985   3.500004	
  0.393453   0.048553   3.749996	  0.494812   0.044270   3.749992	  0.494812   0.044270   3.499993	  0.393453   0.048553   3.499996	
